Country,Squad,Formation,Tier,Rating,Attack,Midfield,Defence
Egypt,"['A. El-Shenawy' 'A. Hegazy' 'K. Hafez' 'O. Gaber' 'M. Salah' 'R. Sobhi'
 'Kahraba' 'M. Elneny' 'A. Hassan' 'Trezeguet' 'M. Fathi']",3-5-2,2,79.0,82.33,83.0,74.17
Morocco,"['Y. Bounou' 'M. Benatia' 'A. Hakimi' 'Z. Feddal' 'H. Ziyech' 'S. Boufal'
 'S. Amrabat' 'A. Harit' 'Y. Ait Bennasser' 'Y. Belhanda' 'Y. Ayoub']",3-5-2,2,81.55,84.0,82.5,78.83
Nigeria,"['V. Enyeama' 'C. Awaziem' 'K. Omeruo' 'U. Agbo' 'O. Ndidi' 'K. Iheanacho'
 'H. Onyekuru' 'A. Iwobi' 'I. Success' 'O. Orji' 'V. Osimhen']",3-5-2,2,82.82,84.5,85.33,79.0
Senegal,"['A. Gomis' 'K. Koulibaly' 'K. Mbodj' 'K. Mbodj' 'K. Bald√© Diao'
 'S. Man√©' 'A. Ndiaye Diedhiou' 'I. Sarr' 'I. Gueye' 'M. Coulibaly'
 'I. Niane']",3-5-2,1,84.18,87.25,84.0,81.17
Tunisia,"['F. Ben Mustapha' 'A. Abdennour' 'Y. Benalouane' 'S. Ben Youssef'
 'B. Srarfi' 'E. Skhiri' 'N. Sliti' 'I. Jebali' 'L. Azouni' 'K. Laribi'
 'H. Harbaoui']",3-5-2,3,74.45,78.0,76.0,72.33
Australia,"['M. Ryan' 'A. Gersbach' 'T. Sainsbury' 'B. Wright' ""A. O'Neill"" 'A. Mooy'
 'T. Rogiƒ\x87' 'J. Maclaren' 'M. Degenek' 'D. De Silva' 'R. McGree']",3-5-2,2,77.82,77.33,78.5,77.5
Iran,"['A. Haghighi' 'M. Mohammadi' 'K. Ansarifard' 'K. Rezaei' 'S. Azmoun'
 'A. Jahanbakhsh' 'S. Ezatolahi' 'R. Shekari' 'S. Ghoddos' 'A. Samizadeh'
 'R. Ghoochannejhad']",3-5-2,3,76.55,79.75,79.0,71.67
Japan,"['K. Nakamura' 'G. Shoji' 'N. Ueda' 'M. Hasebe' 'Y. Mut≈\x8d'
 'G. Shibasaki' 'H. Abe' 'Y. Kubo' 'D. Kamada' 'Y. Ideguchi' 'R. Doan']",3-5-2,2,79.55,80.5,81.0,77.67
Korea Republic,"['Yoon Bo Sang' 'Kim Min Jae' 'An Hyeon Beom' 'Kim Jin Su' 'H. Son'
 'Han Chan Hee' 'You Ju An' 'Lee Jae Sung' 'Kim Seung Joon' 'Lee Chang Min'
 'Lee Sang Heon']",3-5-2,2,80.36,82.0,79.0,78.83
Saudi Arabia,"['M. Al Owais' 'M. Hawsawi' 'O. Hawsawi' 'Y. Al Shahrani' 'M. Jahfali'
 'F. Al Muwallad' 'A. Aseri' 'A. Ateef' 'M. Kanno' 'N. Al Abed'
 'S. Al Najai']",4-4-2,2,77.45,79.33,77.0,76.5
